"Date","Price","Open","High","Low","Vol.","Change %"
"12/09/2024","227.84","227.51","230.05","226.12","29.85M","0.36%"
"12/06/2024","227.03","220.75","227.15","220.60","44.18M","2.94%"
"12/05/2024","220.55","218.03","222.15","217.30","41.14M","1.10%"
"12/04/2024","218.16","215.96","220.00","215.75","48.75M","2.21%"
"12/03/2024","213.44","210.31","214.02","209.65","32.21M","1.30%"
"12/02/2024","210.71","209.96","212.99","209.51","39.52M","1.36%"
"11/29/2024","207.89","205.83","208.20","204.59","24.89M","1.05%"
"11/27/2024","205.74","206.98","207.64","205.05","28.06M","-1.02%"
"11/26/2024","207.86","201.90","208.00","201.79","41.67M","3.18%"
"11/25/2024","201.45","199.28","201.95","199.00","40.69M","2.20%"
"11/22/2024","197.12","198.25","199.26","196.75","31.53M","-0.64%"
"11/21/2024","198.38","203.49","203.49","195.75","58.80M","-2.22%"
"11/20/2024","202.88","202.98","203.13","199.45","32.77M","-0.85%"
"11/19/2024","204.61","199.33","205.30","198.78","31.20M","1.44%"
"11/18/2024","201.70","204.15","204.67","200.95","36.51M","-0.45%"
"11/15/2024","202.61","206.76","207.34","199.61","86.59M","-4.19%"
"11/14/2024","211.48","214.16","215.90","210.88","42.62M","-1.22%"
"11/13/2024","214.10","209.40","215.09","209.14","46.21M","2.48%"
"11/12/2024","208.91","208.37","209.54","206.01","38.94M","1.00%"
"11/11/2024","206.84","208.50","209.65","205.59","35.46M","-0.64%"
"11/08/2024","208.18","209.72","209.96","207.44","36.08M","-0.89%"
"11/07/2024","210.05","207.44","212.25","207.19","52.88M","1.43%"
"11/06/2024","207.09","200.01","207.55","199.14","72.29M","3.80%"
"11/05/2024","199.50","196.04","199.82","195.99","30.56M","1.90%"
"11/04/2024","195.78","196.45","197.33","194.31","38.49M","-1.09%"
"11/01/2024","197.93","199.00","200.50","197.02","99.69M","6.19%"
"10/31/2024","186.40","190.51","190.60","185.23","75.15M","-3.28%"
"10/30/2024","192.73","194.70","195.61","192.42","37.71M","1.00%"
"10/29/2024","190.83","188.58","191.46","187.82","35.69M","1.30%"
"10/28/2024","188.39","189.57","190.21","188.21","27.93M","0.30%"
"10/25/2024","187.83","187.85","190.45","187.53","29.36M","0.78%"
"10/24/2024","186.38","185.25","187.11","183.86","21.65M","0.90%"
"10/23/2024","184.71","188.85","189.16","183.69","31.94M","-2.63%"
"10/22/2024","189.70","188.35","191.52","186.98","29.65M","0.33%"
"10/21/2024","189.07","188.05","189.46","186.40","24.64M","0.04%"
"10/18/2024","188.99","187.15","190.74","186.28","37.42M","0.78%"
"10/17/2024","187.53","188.22","188.94","186.00","25.04M","0.34%"
"10/16/2024","186.89","187.05","187.78","185.61","23.46M","-0.43%"
"10/15/2024","187.69","187.63","188.41","184.58","32.18M","0.08%"
"10/14/2024","187.54","189.78","189.83","187.36","22.61M","-0.68%"
"10/11/2024","188.82","186.63","189.93","186.30","25.75M","1.16%"
"10/10/2024","186.65","187.13","188.13","185.83","27.79M","0.80%"
"10/09/2024","185.17","182.82","185.85","182.05","26.34M","1.34%"